link_id,link_name,status,match_source,road_id,road_name,score,distance_m,overlap_ratio,name_similarity,traffic,capacity,lanes,speed_limit,best_candidate_road_id,best_candidate_road_name,best_candidate_score,best_candidate_distance_m,best_candidate_overlap_ratio,best_candidate_name_similarity
L134,улица Николая Островского,matched_direct,direct,178905,ул Николая Островского,1.25,0.0,1.0,1.0,6000.0,3600.0,2,60.0,178905,ул Николая Островского,1.25,0.0,1.0,1.0
L136,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1482,10.18,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1482,10.18,1.0,1.0
L137,улица Кошурникова,matched_direct,direct,1414193,Ул. Челюскинцев - ул. Гоголя - ул. Кошурникова,1.0716,11.59,1.0,0.75,,,,,1414193,Ул. Челюскинцев - ул. Гоголя - ул. Кошурникова,1.0716,11.59,1.0,0.75
L138,улица Кошурникова,matched_direct,direct,1414193,Ул. Челюскинцев - ул. Гоголя - ул. Кошурникова,1.1331,5.44,1.0,0.75,,,,,1414193,Ул. Челюскинцев - ул. Гоголя - ул. Кошурникова,1.1331,5.44,1.0,0.75
L139,улица Кошурникова,matched_direct,direct,1414193,Ул. Челюскинцев - ул. Гоголя - ул. Кошурникова,1.1331,5.44,1.0,0.75,,,,,1414193,Ул. Челюскинцев - ул. Гоголя - ул. Кошурникова,1.1331,5.44,1.0,0.75
L141,улица Кропоткина,matched_direct,direct,178800,ул Кропоткина,1.2466,0.34,1.0,1.0,2000.0,3600.0,2,40.0,178800,ул Кропоткина,1.2466,0.34,1.0,1.0
L142,дублёр Ипподромской,no_match,,,,,,,,,,,,178805,ул Писарева,0.7356,0.0,0.9009,-1.0
L143,дублёр Ипподромской,no_match,,,,,,,,,,,,178905,ул Николая Островского,0.1793,5.45,0.129,-1.0
L144,дублёр Ипподромской,no_match,,,,,,,,,,,,178905,ул Николая Островского,0.2649,0.0,0.1767,-1.0
L146,дублёр Ипподромской,no_match,,,,,,,,,,,,178827,ул Ипподромская,0.5823,0.0,0.6651,-1.0
L147,дублёр Ипподромской,no_match,,,,,,,,,,,,178905,ул Николая Островского,0.2457,0.0,0.1473,-1.0
L148,дублёр Ипподромской,no_match,,,,,,,,,,,,178805,ул Писарева,0.2716,0.0,0.1871,-1.0
L149,улица Писарева,matched_direct,direct,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1777,0.98,1.0,0.75,,,,,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1777,0.98,1.0,0.75
L150,улица Писарева,matched_direct,direct,178805,ул Писарева,1.25,0.0,1.0,1.0,14000.0,3600.0,1,60.0,178805,ул Писарева,1.25,0.0,1.0,1.0
L151,улица Писарева,matched_direct,direct,178805,ул Писарева,1.25,0.0,1.0,1.0,14000.0,3600.0,1,60.0,178805,ул Писарева,1.25,0.0,1.0,1.0
L157,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.0714,17.86,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.0714,17.86,1.0,1.0
L17,Советская улица,matched_direct,direct,178901,ул Советская,1.25,0.0,1.0,1.0,6000.0,3600.0,2,40.0,178901,ул Советская,1.25,0.0,1.0,1.0
L20,Железнодорожная улица,matched_direct,direct,175195,ул Железнодорожная,1.1762,7.38,1.0,1.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,1.1762,7.38,1.0,1.0
L32,Ипподромская улица,matched_direct,direct,178827,ул Ипподромская,1.1968,5.32,1.0,1.0,14000.0,13800.0,6,40.0,178827,ул Ипподромская,1.1968,5.32,1.0,1.0
