link_id,link_name,status,match_source,road_id,road_name,score,distance_m,overlap_ratio,name_similarity,traffic,capacity,lanes,speed_limit,best_candidate_road_id,best_candidate_road_name,best_candidate_score,best_candidate_distance_m,best_candidate_overlap_ratio,best_candidate_name_similarity
L178,2-я улица Союза Молодёжи,matched_direct,direct,374729077,ул. 2-я Союза Молодежи,1.2348,1.52,1.0,1.0,,,,,374729077,ул. 2-я Союза Молодежи,1.2348,1.52,1.0,1.0
L179,2-я улица Союза Молодёжи,matched_direct,direct,374729077,ул. 2-я Союза Молодежи,1.2359,1.41,1.0,1.0,,,,,374729077,ул. 2-я Союза Молодежи,1.2359,1.41,1.0,1.0
L180,2-я улица Союза Молодёжи,matched_direct,direct,374729077,ул. 2-я Союза Молодежи,1.2464,0.36,1.0,1.0,,,,,374729077,ул. 2-я Союза Молодежи,1.2464,0.36,1.0,1.0
L181,2-я улица Союза Молодёжи,matched_direct,direct,374729077,ул. 2-я Союза Молодежи,1.25,0.0,1.0,1.0,,,,,374729077,ул. 2-я Союза Молодежи,1.25,0.0,1.0,1.0
L182,2-я улица Союза Молодёжи,matched_direct,direct,374729077,ул. 2-я Союза Молодежи,1.2346,1.54,1.0,1.0,,,,,374729077,ул. 2-я Союза Молодежи,1.2346,1.54,1.0,1.0
L183,OSM road 183,no_match,,,,,,,,,,,,,,,,,
L184,OSM road 184,no_match,,,,,,,,,,,,,,,,,
L185,OSM road 185,no_match,,,,,,,,,,,,,,,,,
L186,OSM road 186,no_match,,,,,,,,,,,,,,,,,
L187,OSM road 187,no_match,,,,,,,,,,,,,,,,,
L188,OSM road 188,no_match,,,,,,,,,,,,,,,,,
L189,OSM road 189,no_match,,,,,,,,,,,,177382,ул Нарымская,0.3317,16.68,0.2285,0.0
L190,OSM road 190,no_match,,,,,,,,,,,,,,,,,
L191,OSM road 191,matched_direct,direct,175195,ул Железнодорожная,0.904,9.6,1.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.904,9.6,1.0,0.0
L192,OSM road 192,matched_direct,direct,175195,ул Железнодорожная,0.8813,11.87,1.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.8813,11.87,1.0,0.0
L193,OSM road 193,matched_direct,direct,175195,ул Железнодорожная,0.8472,15.28,1.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.8472,15.28,1.0,0.0
L194,OSM road 194,matched_direct,direct,175195,ул Железнодорожная,0.8004,19.96,1.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.8004,19.96,1.0,0.0
L195,OSM road 195,matched_osm_way_group,osm_way_group,175195,ул Железнодорожная,0.5271,22.58,0.6199,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.5271,22.58,0.6199,0.0
L196,OSM road 196,matched_osm_way_group,osm_way_group,175195,ул Железнодорожная,0.0851,26.49,0.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.0851,26.49,0.0,0.0
L197,OSM road 197,matched_osm_way_group,osm_way_group,175195,ул Железнодорожная,0.0053,34.47,0.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.0053,34.47,0.0,0.0
L198,OSM road 198,matched_direct,direct,175195,ул Железнодорожная,1.0,0.0,1.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,1.0,0.0,1.0,0.0
L199,OSM road 199,matched_direct,direct,175195,ул Железнодорожная,0.9654,3.46,1.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.9654,3.46,1.0,0.0
L200,OSM road 200,matched_direct,direct,175195,ул Железнодорожная,0.9003,9.97,1.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.9003,9.97,1.0,0.0
L201,OSM road 201,matched_osm_way_group,osm_way_group,175195,ул Железнодорожная,0.3448,19.95,0.299,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.3448,19.95,0.299,0.0
L202,Нарымская улица,no_match,,,,,,,,,,,,,,,,,
L203,Нарымская улица,no_match,,,,,,,,,,,,,,,,,
L204,Нарымская улица,no_match,,,,,,,,,,,,177382,ул Нарымская,0.3416,25.84,0.0,1.0
L205,Нарымская улица,no_match,,,,,,,,,,,,177382,ул Нарымская,0.3416,25.84,0.0,1.0
L206,OSM road 206,matched_osm_way_group,osm_way_group,175195,ул Железнодорожная,0.1918,23.32,0.1155,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.1918,23.32,0.1155,0.0
L207,OSM road 207,matched_direct,direct,175195,ул Железнодорожная,0.8506,14.94,1.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.8506,14.94,1.0,0.0
L208,OSM road 208,matched_direct,direct,175195,ул Железнодорожная,0.879,12.1,1.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.879,12.1,1.0,0.0
L209,Нарымская улица,matched_direct,direct,177382,ул Нарымская,1.203,4.7,1.0,1.0,14000.0,13800.0,7,40.0,177382,ул Нарымская,1.203,4.7,1.0,1.0
L210,OSM road 210,matched_direct,direct,177382,ул Нарымская,1.0,0.0,1.0,0.0,14000.0,13800.0,7,40.0,177382,ул Нарымская,1.0,0.0,1.0,0.0
L211,OSM road 211,matched_direct,direct,177382,ул Нарымская,0.9868,1.32,1.0,0.0,14000.0,13800.0,7,40.0,177382,ул Нарымская,0.9868,1.32,1.0,0.0
L212,OSM road 212,matched_direct,direct,177382,ул Нарымская,0.9528,4.72,1.0,0.0,14000.0,13800.0,7,40.0,177382,ул Нарымская,0.9528,4.72,1.0,0.0
L213,OSM road 213,no_match,,,,,,,,,,,,177382,ул Нарымская,0.4998,17.67,0.5023,0.0
L214,OSM road 214,no_match,,,,,,,,,,,,177382,ул Нарымская,0.0274,32.26,0.0,0.0
L215,OSM road 215,no_match,,,,,,,,,,,,,,,,,
L216,OSM road 216,no_match,,,,,,,,,,,,,,,,,
L217,OSM road 217,matched_direct,direct,175195,ул Железнодорожная,0.9323,6.77,1.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.9323,6.77,1.0,0.0
L218,OSM road 218,matched_direct,direct,175195,ул Железнодорожная,1.0,0.0,1.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,1.0,0.0,1.0,0.0
L219,OSM road 219,matched_direct,direct,175195,ул Железнодорожная,0.9957,0.43,1.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.9957,0.43,1.0,0.0
L220,OSM road 220,matched_direct,direct,175195,ул Железнодорожная,0.978,2.2,1.0,0.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,0.978,2.2,1.0,0.0
L221,OSM road 221,no_match,,,,,,,,,,,,,,,,,
L222,OSM road 222,no_match,,,,,,,,,,,,,,,,,
L223,OSM road 223,no_match,,,,,,,,,,,,,,,,,
L224,OSM road 224,no_match,,,,,,,,,,,,,,,,,
L225,OSM road 225,no_match,,,,,,,,,,,,,,,,,
L226,OSM road 226,no_match,,,,,,,,,,,,,,,,,
L227,OSM road 227,no_match,,,,,,,,,,,,,,,,,
L228,OSM road 228,no_match,,,,,,,,,,,,,,,,,
L229,OSM road 229,no_match,,,,,,,,,,,,,,,,,
